,coords,category,lat,long,address
221,122.579987/11.24989,Medical Response,122.579987,11.24989,"Jeriff Fara-on’s Residence, Old Iloilo-Capiz Road, San Miguel, Tapaz, Capiz, Western Visayas, 5041, Pilipinas / Philippines"
222,124.552177/11.33877,Medical Response,124.552177,11.33877,"Capoocan, Leyte 2nd District, Leyte, Eastern Visayas, 6530, Pilipinas / Philippines"
223,124.552177/11.33877,Medical Response,124.552177,11.33877,"Capoocan, Leyte 2nd District, Leyte, Eastern Visayas, 6530, Pilipinas / Philippines"
224,124.552177/11.33877,Medical Response,124.552177,11.33877,"Capoocan, Leyte 2nd District, Leyte, Eastern Visayas, 6530, Pilipinas / Philippines"
225,126.071388/10.0325,Food & Clothes,126.071388,10.0325,"Santa Monica-San Isidro Road, Purok 1, Burgos, Surigao del Norte, Caraga, 8424, Pilipinas / Philippines"
226,124.552177/11.33877,Food & Clothes,124.552177,11.33877,"Capoocan, Leyte 2nd District, Leyte, Eastern Visayas, 6530, Pilipinas / Philippines"
227,124.552177/11.33877,Medical Response,124.552177,11.33877,"Capoocan, Leyte 2nd District, Leyte, Eastern Visayas, 6530, Pilipinas / Philippines"
228,122.650482/10.84919,Medical Response,122.650482,10.84919,"Pelobello store, Banga Bante-Banga-Polot-an-Barotac Nuevo Road, Zarraga, Iloilo, Western Visayas, 5004, Pilipinas / Philippines"
229,124.552177/11.33877,Medical Response,124.552177,11.33877,"Capoocan, Leyte 2nd District, Leyte, Eastern Visayas, 6530, Pilipinas / Philippines"
230,122.650482/10.84919,Medical Response,122.650482,10.84919,"Pelobello store, Banga Bante-Banga-Polot-an-Barotac Nuevo Road, Zarraga, Iloilo, Western Visayas, 5004, Pilipinas / Philippines"
231,124.552177/11.33877,Medical Response,124.552177,11.33877,"Capoocan, Leyte 2nd District, Leyte, Eastern Visayas, 6530, Pilipinas / Philippines"
232,124.552177/11.33877,Medical Response,124.552177,11.33877,"Capoocan, Leyte 2nd District, Leyte, Eastern Visayas, 6530, Pilipinas / Philippines"
233,122.579987/11.24989,Medical Response,122.579987,11.24989,"Jeriff Fara-on’s Residence, Old Iloilo-Capiz Road, San Miguel, Tapaz, Capiz, Western Visayas, 5041, Pilipinas / Philippines"
234,124.552177/11.33877,Medical Response,124.552177,11.33877,"Capoocan, Leyte 2nd District, Leyte, Eastern Visayas, 6530, Pilipinas / Philippines"
235,125.149437/10.62223,Medical Response,125.149437,10.62223,"Bagacay - Bulak Road, Bito, Bagacay, Abuyog, Leyte 5th District, Leyte, Eastern Visayas, 6510, Pilipinas / Philippines"
